0	0.124502
0.132	0.0763281
0.264	0.127461
0.396	0.179814
0.528	0.277178
0.66	0.297747
0	0.124502
0.132	0.0244043
0.264	0.0389876
0.396	0.0701172
0.528	0.0997168
0.66	0.112738
0.792	0.127445
0.924	0.147757
1.056	0.149443
1.188	0.149033
1.32	0.148932
1.452	0.147461
1.584	0.147975
1.716	0.146927
1.848	0.14693
1.98	0.147663
2.112	0.149368
2.244	0.143141
2.376	0.148499
2.508	0.14377
2.64	0.144076
2.772	0.144557
2.904	0.145202
3.036	0.140326
3.168	0.143532
3.3	0.142057
3.432	0.143926
3.564	0.141484
3.696	0.143053
3.828	0.143799
3.96	0.144378
4.092	0.142178
4.224	0.145397
4.356	0.146042
4.488	0.149603
4.62	0.144749
4.752	0.149248
4.884	0.150934
5.016	0.148109
5.148	0.144847
5.28	0.146543
5.412	0.147754
5.544	0.147471
5.676	0.145934
5.808	0.147633
5.94	0.147207
6.072	0.149033
6.204	0.147083
6.336	0.14752
6.468	0.148916
6.6	0.154274
6.732	0.159124
6.864	0.162855
6.996	0.165075
7.128	0.160566
7.26	0.164036
7.392	0.164652
7.524	0.164404
7.656	0.165039
7.788	0.168509
7.92	0.167002
8.052	0.168226
8.184	0.168177
8.316	0.167913
8.448	0.177246
8.58	0.176058
8.712	0.177826
8.844	0.177559
8.976	0.177236
9.108	0.176966
9.24	0.178503
9.372	0.178519
9.504	0.175518
9.636	0.178311
9.768	0.182536
9.9	0.177178
10.032	0.175007
10.164	0.17833
10.296	0.180459
10.428	0.18069
10.56	0.172028
10.692	0.175563
10.824	0.173301
10.956	0.169857
11.088	0.165902
11.22	0.167305
11.352	0.168112
11.484	0.167992
11.616	0.163216
11.748	0.167012
11.88	0.161602
0	0.0357975
0.132	0.0206478
0.264	0.0107389
0.396	0.0200879
0.528	0.00233724
0.66	0.00241536
0.792	0.00527669
0.924	0.00030599
1.056	0.000585938
1.188	0.000419922
1.32	0.000253906
1.452	0.00291992
1.584	0.00400065
1.716	0.00275065
1.848	5.85937e-05
1.98	0.000146484
2.112	0.000426432
2.244	0.0014974
2.376	0.00015625
2.508	0.00378581
2.64	0.00551758
2.772	0.0027474
2.904	0.000595703
3.036	0.00167318
3.168	0.00275065
3.3	0.00197917
3.432	0.000130208
3.564	0.00130208
3.696	0.00309896
3.828	0.00340495
3.96	0.0030013
4.092	0.00184896
4.224	0.00348307
4.356	0.00462565
4.488	0.00205404
4.62	0.00181315
4.752	0.00432943
4.884	0.000139974
5.016	0.000957031
5.148	0.000413411
5.28	0.000927734
5.412	0.000553385
5.544	0.000999349
5.676	0.0011849
5.808	0.00110352
5.94	0.000800781
6.072	0.00120443
6.204	0.00106445
6.336	0.00347331
6.468	0.00358073
6.6	0.00235352
6.732	0.00319987
6.864	0.000195313
6.996	0.000104167
7.128	0.00191081
7.26	0.00252279
7.392	0.00223633
7.524	0.00214844
7.656	0.00152669
7.788	0.00214518
7.92	0.00267904
8.052	0.00281901
8.184	0.00273112
8.316	0.00327474
8.448	0.000208333
8.58	0.00260417
8.712	0.00135742
8.844	0.00141276
8.976	0.00323893
9.108	0.0038151
9.24	0.00325846
9.372	0.00250977
9.504	0.0011849
9.636	0.00268229
9.768	0.000195313
9.9	0.00232747
10.032	0.00255208
10.164	0.00185547
10.296	0.000139974
10.428	0.000953776
10.56	0.00195638
10.692	8.78906e-05
10.824	0.000276693
